name,format,version_current,python_min,outdated_python_min,optimize_count,optimize_codes,validate_passed,validate_errors,validate_warnings,version_latest,is_outdated,cve_count,cve_ids,error
bmad-builder,both,1.4.0,,,0,,,,,,,,,
bmad-creative-intelligence-suite,v1,0.1.9,,,0,,,,,,,,,
bmad-method,v0,6.2.2,,,0,,,,,,,,,
bmad-method-test-architecture-enterprise,v1,1.13.1,,,0,,,,,,,,,
bmad-method-wds-expansion,v1,0.3.1,,,0,,,,,,,,,
bokeh-django,both,0.2.1,,,0,,,,,,,,,
boring-semantic-layer,v1,0.1.4,3.10,,0,,,,,,,,,
boringcatalog,v1,0.4.0,3.10,,0,,,,,,,,,
buenavista,v0,0.4.0,,,0,,,,,,,,,
buildah,v0,1.24.2,,,0,,,,,,,,,
bump-my-version,v0,0.21.1,,,0,,,,,,,,,
bump2version,v0,1.0.1,,,0,,,,,,,,,
bumpversion,v0,0.6.0,,,0,,,,,,,,,
burr,v0,0.37.0,,,0,,,,,,,,,
bynder-sdk,v0,1.1.5,,,0,,,,,,,,,
cachecontrol,v0,0.14.0,,,0,,,,,,,,,
cachetools,v0,5.3.1,,,0,,,,,,,,,
cartopy,v0,0.23.0,,,0,,,,,,,,,
celery,v0,5.3.6,,,0,,,,,,,,,
channels,v0,4.2.0,,,0,,,,,,,,,
channels_redis,v0,4.2.0,,,0,,,,,,,,,
chromadb,v0,1.1.1,,,0,,,,,,,,,
cityhash,both,0.4.9,3.10,,0,,,,,,,,,
ckan,v0,2.11.0,,,0,,,,,,,,,
claude-code-transcripts,both,0.4,,,0,,,,,,,,,
cleo,v0,2.0.1,,,0,,,,,,,,,
click,v0,8.1.6,,,0,,,,,,,,,
clickclick,v0,1.2.2,,,0,,,,,,,,,
cmd2,v1,2.7.0,,,0,,,,,,,,,
cmudict,v0,1.0.32,,,0,,,,,,,,,
codefind,v1,0.1.7,3.10,,0,,,,,,,,,
coderedcms,both,6.0.0,3.10,,0,,,,,,,,,
collate-data-diff,v1,0.11.5,3.9,True,0,,,,,,,,,
collate-sqlfluff,v1,3.3.5,3.10,,0,,,,,,,,,
collate-sqllineage,both,2.0.0,3.10,,0,,,,,,,,,
collectfast,v0,2.2.0,,,0,,,,,,,,,
collectfasta,v0,3.2.0,,,0,,,,,,,,,
commons-io,v0,2.18.0,,,0,,,,,,,,,
concurrent-log-handler,both,0.9.28,3.10,,0,,,,,,,,,
conda,both,25.7.0,3.9,True,0,,,,,,,,,
conda-lock,v0,2.5.7,,,0,,,,,,,,,
conda-minify,v0,0.1.2,,,0,,,,,,,,,
conda-pip-minimal,v0,0.2.1,,,0,,,,,,,,,
conda-project,v0,0.1.0,,,0,,,,,,,,,
conda-recipe-manager,v1,0.6.1,3.11,,0,,,,,,,,,
condastats,v1,0.2.1,3.10,,0,,,,,,,,,
condense-json,v0,0.1.2,,,0,,,,,,,,,
confection,v0,1.2.0,3.10,,0,,,,,,,,,
configurable-http-proxy,v0,4.5.6,,,0,,,,,,,,,
confluence-markdown-exporter,v1,3.0.3,,,0,,,,,,,,,
confusable-homoglyphs,v0,3.3.1,,,0,,,,,,,,,
connexion,v0,3.0.0a7,,,0,,,,,,,,,
contextvars,both,2.4,,,0,,,,,,,,,
cookiecutter-django,both,2025.05.02,3.12,,0,,,,,,,,,
cookiecutter-django-all,v0,2024.08.30,,,0,,,,,,,,,
cookiecutter-django-core,both,2025.06.13,3.12,,0,,,,,,,,,
copilotkit,v0,1.55.3,3.10,,0,,,,,,,,,
crewai,both,1.14.1,3.10,,0,,,,,,,,,
crewai-files,v0,1.14.1,3.10,,0,,,,,,,,,
crewai-suite,v1,1.14.1,3.10,,0,,,,,,,,,
crewai-tools,both,1.14.1,,,0,,,,,,,,,
crispy-bootstrap4,v0,2022.1,,,0,,,,,,,,,
crispy-bootstrap5,v0,2024.10,,,0,,,,,,,,,
crispy-forms-gds,v0,0.3.1,,,0,,,,,,,,,
cron-descriptor,v0,1.4.0,,,0,,,,,,,,,
cssbeautifier,v0,1.15.0,,,0,,,,,,,,,
cssselect2,both,0.8.0,3.9,True,0,,,,,,,,,
csv2parquet,v0,0.0.9,,,0,,,,,,,,,
CTranslate2,both,4.6.0,,,0,,,,,,,,,
cucumber-expressions,both,18.1.0,3.10,,0,,,,,,,,,
cucumber-tag-expressions,v0,6.1.0,,,0,,,,,,,,,
culsans,v1,0.11.0,3.10,,0,,,,,,,,,
curl-cffi,both,0.11.1,3.9,True,0,,,,,,,,,
customersatisfactionmetrics,v0,1.0.8,,,0,,,,,,,,,
dacite,v0,1.9.1,,,0,,,,,,,,,
daff,v0,1.3.46,,,0,,,,,,,,,
dagster,v1,1.12.2,,,0,,,,,,,,,
dagster-async-executor,v0,0.0.1,3.10,,0,,,,,,,,,
dagster-contrib-gcp,v0,0.0.8,3.10,,0,,,,,,,,,
dagster-dataform,v0,0.0.5,3.10,,0,,,,,,,,,
dagster-dlt,v1,0.27.16,,,0,,,,,,,,,
dagster-ducklake,v0,0.0.2,3.10,,0,,,,,,,,,
dagster-gemini,v0,0.0.4,3.10,,0,,,,,,,,,
dagster-iceberg,v0,0.3.8,3.10,,0,,,,,,,,,
dagster-sftp,v0,0.0.2,3.10,,0,,,,,,,,,
dagster-sharepoint,v0,0.0.2,3.10,,0,,,,,,,,,
dagster-teradata,v0,0.0.7,3.10,,0,,,,,,,,,
dagster-vertexai,v0,0.0.1,3.10,,0,,,,,,,,,
dagster-webserver,v0,1.8.6,,,0,,,,,,,,,
dash,v0,3.0.4,,,0,,,,,,,,,
dash-ag-grid,v0,31.3.1,,,0,,,,,,,,,
dash-auth,v0,2.3.0,,,0,,,,,,,,,
dash-auth-plus,both,0.0.1a1,3.10,,0,,,,,,,,,
dash-bootstrap-components,v1,2.0.3,3.9,True,0,,,,,,,,,
dash-bootstrap-templates,v0,2.1.0,,,0,,,,,,,,,
dash_handsontable,v0,0.1.2,,,0,,,,,,,,,
data-wizard,v0,2.0.0,,,0,,,,,,,,,
databricks-sdk,v0,0.27.1,,,0,,,,,,,,,
dataclasses-json,v0,0.6.4,,,0,,,,,,,,,
dataprofiler,v0,0.10.7,,,0,,,,,,,,,
datasets,v0,3.0.1,,,0,,,,,,,,,
datasette-cluster-map,v0,0.18.2,,,0,,,,,,,,,
datasette-configure-fts,v0,1.1.2,,,0,,,,,,,,,
datasette-copyable,v0,0.3.2,,,0,,,,,,,,,
datasette-dashboards,v0,0.8.0,3.10,,0,,,,,,,,,
datasette-edit-schema,v0,0.7.1,,,0,,,,,,,,,
datasette-enrichments,v0,0.4,,,0,,,,,,,,,
datasette-graphql,v0,2.2,,,0,,,,,,,,,
datasette-gunicorn,v0,0.1.1,,,0,,,,,,,,,
datasette-insert,v0,0.8,,,0,,,,,,,,,
datasette-leaflet,v0,0.2.2,,,0,,,,,,,,,
datasette-nteract-data-explorer,v0,0.5.1,,,0,,,,,,,,,
datasette-parquet,v0,0.6.1,,,0,,,,,,,,,
datasette-plot,v0,0.1.0,,,0,,,,,,,,,
datasette-render-markdown,v0,2.2.1,,,0,,,,,,,,,
datasette-scraper,v0,0.5.3,,,0,,,,,,,,,
datasette-search-all,v0,1.1.2,,,0,,,,,,,,,
datasette-secrets,v0,0.2,,,0,,,,,,,,,
datasette-statistics,v0,0.2.1,,,0,,,,,,,,,
datasette-template-sql,both,1.0.3,3.10,,0,,,,,,,,,
datasketch,both,1.8.0,3.10,,0,,,,,,,,,
datasketches,v0,5.0.2,,,0,,,,,,,,,
datasketches-python,v0,5.2.0,,,0,,,,,,,,,
datastar-py,v0,0.4.3,3.11,,0,,,,,,,,,
